text,label
Why would you say something like that at a graduation? you are there to influence. Mistakes happen with forgetting speeches and stuff like that but thats no excuse to say something like that.,0
"Whatever!!! The pizza guy should have given their change back and let them give him a tip. He just assumed to take a $7 tip. 

However that women definitely needed to be fired. Who talks like that? It’s a damn pizza.

I blame everyone. The fabric of society is burning right in front of our faces.",1
Everybody giving hate in the comments to someone who dedicated their life to improve women’s rights. Speaks a lot about y’all misogynistic sick minds.,0
1:07 when ur girl sees your dick,1
Well fuck Religion,1
Yeah maybe don’t do that to your judge,0
"Dawkins mentioned the marvelous gift of life, the gift of understanding..........  My question is where did these gifts come from? Especially the gift of life. That's huge, that's big. So when he said gift, it must have been given, right? A GIFT wouldn't be a GIFT, unless it's GIVEN by a GIVER. Where and who did these gifts come from? I want an answer. Thank you.",0
Lol suck one black guy and lady hahaha,1
Cry.. Cry.. Cry some more.. and then grow the fuck up one day,1
lol she's like one of them rats in new york,0
4.9K people are mexican bird flippers lol,0
I'd would have floored  that sales  man the fuck out  twat,1
fuck the delivery guy and CNN,1
"Having love for someone you don't know and have never met is insanity by itself, not including all the other crazy bullshit.",1
The human race includes people of all skin color.  The problem is with people who only have one eye.  How can you tell if a lawyer is well hung?  You can't get your finger between the rope and his neck.,0
Fake news fake tears,0
It's always brown skinned and asian employees who follow and stare down my arse in high end stores. But you don't hear me crying,1
"Hey, don't hate on LOTR!! The one you don't want to see is the last Hobbit movie lol.",0
Adios must mean something different in Miami,0
Fuck Hitlery Clinton and fuck SNL,1
Good for the little trash bag,0
She’s being a bitch,1
"Islam wasn't founded 1400yrs ago, 
And it was not founded by prophet Muhammad SAW

The day Prophet Adam pbuh kept his foot on Earth, Islam was there,
Every prophet bought the same msg
 Please make a video on Islamic facts about
Facts on Prophet 
and facts on Quran",0
karma bit them in the ass cause they were fucking with the delivery guy on purpose cause they gave him 2 5s,1
"Bunch of fuckin low life criminals, anyway.  It's not enough they most likely cheat the shit out of their customers, they gotta do it to the pizza guy too.",1
"When I visit the UK, I will never shop at John Lewis stores ever again because of multiple experiences like this at 2 different locations!",0
"""Can we say this yet- President Clinton"" 
Lmao So wrong 😁😁😁",0
Classism and racism are different,0
The shit people call the police about is just hilarious,1
How can an intelligent man not think its control to believe in god? I mean I have no choice if I don't want to burn in hell forever and ever... How is that a good thing?,0
Shayne Holland was in a fight involving 40 unannounced guests that he (and his mom !) invited to a pool party a week before this video. THAT’S why extra security was hired. Later he was arrested in downtown Indianapolis for Fighting and TRESPASSING. He’s a punk with a camera - crying racism.,0
What a wuss!,0
What's next ? A white woman Sue's a Latina woman just glancing at her,0
Nice to know I'm not the only one who eats eggs In the shower,0
I would've bailed her fine ass out...,1
I laughed my shit out lol,1
"State Attorney Ayala disputing being removed from office for refusing the death penalty prisoners for killing a police officer.  firstly, a lot of people don't believe in the death penalty.  secondly, it should be a uniform judgment, ie. if anyone kills anyone and found guilty then they should be either given the death penalty or not.  there should not be preferential treatment, a bias.   

any law should NOT be based on a bias.",0
"Can someone tell me what she said?? I genuinely cannot understand her accent, I'm from england so I've no experience of these accents.",0
The devil is a fat 30 year old woman in yoga pants,0
What thing in the observable universe has suddenly come into existence without an intelligent designer? I’d like to know,0
There is no compulsion in religion. U choose to move from darkness to Light or vice versa. The problem is Atheism behaves just like any religious doctrine... A firm believe in unbelieve. So where's the difference.?,0
First two ladies is me and my best friend.,0
Are people crazy?! Why would the pizza guy assume they wouldn’t want change back? That’s just stupid or passive aggressive. Then he comes back talking shit instead of just giving the money back and apologizing for the misunderstanding? That’s so unprofessional and he may not need to be fired but definitely needs disciplinary action.,1
Madtv>this shit,1
"i love this! every dealership i have ever worked at was stocked to the brim with racist, immoral uneducated people on payroll. kudos to the pizza guy!!!",0
"dear Racist shitheads, cops have better things to do",1
"It should say, What this person's opinion Islam really says about women. For every one of her there are 10 or 20 thousand who believe it is okay to stone women to death after they have been raped because she isn't pure anymore. Bullshit lady.",0
"I just love how cool she was and how childish the cops responded when she asked: ""do you guys have any cards on you?""",0
ha ha ha what a stupid bitch. you ain't shit obama . i will fuck you soon obama revenge is coming,1
"Well she’ll end up in prison in the end  for life for some stupid crime, she’s a complete and utter moron!!. Judge was very cool and he was right!!!",1
more fake news,0
"i feel it was unfair, as the judge was playing along smiling and saying ""this is not a club"" ,  it's hard to decide how he is going to react, and since he was smiling so much i guess she thought he was comfortable enough to take an ""adios"" as a goodbye",0
Fucking love him lmao 😂😂,1
"Who are you speaking To Mr. Racist?  One thing about it, he is making it all come true. What díd Obama do?  Good luck dems. u Will pay for all your lies.",0
I am facing the fact now,0
0:35 - Oh how wrong you are lol.,0
well shit,1
She just didn't behave and was a acting like a shit whore so what?  HOW CAN HE JUST ADD MORE MONEY TO THE TICKET LOL ***ONLY IN AMERICA!***,1
He is doing a good job with jobs rn- trademark,0
"Why include race into this? The kid was being cute. 
But if the man was BBQing in illegal area.. Ya id call cops too",0
"trump 2016

lester and hillary should go to hell!
bunch of puppets!",1
THERE IS NO other god but ALLAH & MUHAMMAD ( sawas)  is HIS Prophet,0
Ahh... 2$ for a bottle of water? That should be illegal.. I would of called the cops also!!,0
"Trump: _""I like to grope women without consent""_
Women: _""Trump groped us""_
Trump: _""They're all lying""_",1
"LMAO!! SNL just gets better and better. I do find it funny though how everyone thought Clinton had it won, the jaw drop, ""can we vote right now"", the hook, line, and sinker gesture, ""na, I'm cool"". All fucking hilarious as Hillary LOST the election. The ""talking heads"", the so called ""experts"" don't know a fucking thang'.",1
Wht the fokk are all of 'you people' bitchin about...??  She wasnt wrong!!  YOU jus didnt like the message!!,1
Fucking stupid! Sick of the liberal left bullshit!,1
I felt like a baddie when i threw a highlighter at my teacher. 🤷‍♀️,0
The modesty.. the shine smile and Allah's Blessings (noor) on Omer's face is so amazing. I love and respect this guy from core of my heart.,0
"That judge should loose his job immediately. How can such a mental unstable and easily provocative human being become a fucking judge. Not a police officer, not a lawyer A FUCKING JUDGE. I guess its just something only americans can understand.",1
how the fuck did you do this?,1
Ridiculous she said bye in spanish was tryna be freindly and then 10k fine so she’s bound to be pissed so 🖕 is expected honesty,1
If I’m paying rent there is somebody walks up and asked me to leave a man asked him to leave or get in a body bag because I’m a start Beating some ass,1
What a bunch of cheap fucks!,1
"Good job officers. Doing their job. It is disturbing to know Florida's attorney general is no different than your avg BLM advocate and is clearly against law enforcement officers because she uses the race card as a crutch in life. No lady, they didn't run your plate for being black, you're just racist. And by the way, being the attorney general doesn't afford you extra rights, you can still be pulled over like anyone else.",0
I'm glad the world hasn't gone to complete shit,1
this shit is still funny as hell to me.  I LOVE TRUMP!!! GO TRUMP GO!!!!,1
"Why are they facing scrutiny , is it because the cop doesn’t have a tint measure, if I was the cop I would of held her till my college went got one then sited her",0
Alice is blind and deaf and stupid. No offence made to those people who are in deed truly blind or deaf. Republicans who support Trump and his rantings and his stupidity need to crawl back into the swamp.,1
"ha bitch, u thought Hillary was already president fake ass liberal people",1
Every one knows car salesman are pretty much the lowest form of sleaze or scum.,1
"I LOVE THIS Girl even if I am Gay, Oh My God, is this America and American Dream, God Thanks I do believe in Freedom like this whore in New York, State of Liberty:-))",1
What kind of pizza is that for fucks sake? Looks ugly as car accident,1
That disrespectful pig must get fired. Shame on u fuckers,1
They're all spoil brats,0
Tape on his mouth and he still can talk... 😂,0
karma's a bitch,1
I wouldn't have done anything but refused to answer any questions. You're not gonna extort money or goods from me for a charge that I haven't been found guilty of. ,0
This is what's wrong with the US none of those actions make anybody more dangerous. Fucking power trip if I've ever seen one,0
Our great PRESIDENT TRUMP is useing his position for personal gain? whyyyyyyyyy is the people not drug tested,0
"Why not just have the father of the little girl pay for his kid to go to Disney World??

Oh. Okay...",0
There really was something wrong with his mic.,0
This judge cannot stand Spanish.  Must be a racist like that Trumpist lawyer guy.,0
Well I mean you can't just assume that the money they gave you is a tip. But that doesn't excuse their actions.,0
The hell was that pizza close up in the end? Camera guy trying too hard lol.,0
"Patty doesn't deserve to go on dates, to be in public, or to get pregnant, I wouldn't give her food or money even if she's homeless or living under a bridge!",0
He is breathing real hard lmao,1
"I'm not gonna lie Europe is so much more loyal and better than this shitty America I swear




And yeah I'm from America",1
"so, whats the problem?",0
"If a God exists and especiallly if he really sent one of these stupid 'holy books' then he must be totally insane and unworthy of respect. These so-called holy books seem more likely to be written by the ""devil"".",1
I'm still voting for that asshole over that bitch.,1
"that judge was misusing his power 
he should have given her the punishment she deserved right off 
not when he was offended by her",0
She bad,0
"""Here's my penis""? WTF...",1
Racist dumbass,1
